RENTAL (y/n/partial),MAX GROUP,MIN SPEND / DEPOSIT,NOTES,campus,name,type,phone,email,website,takes reservations,site mentions events,events page,site says,chain,current capacity,hours,look up,id
,,,,nyu,Aria West Village,restaurant,+1-212-242-4233,,https://www.ariawinebar.nyc/,recommended,,,,,,"Mo-Th, Su 11:00-22:30; Fr, Sa 11:00-23:00","https://www.google.com/maps/search/?api=1&query=40.73514,-74.00673",nyu-aria-west-village
,,,,nyu,Aurora SoHo,restaurant,+1-212-334-9020,info@aurorasoho.com,https://www.aurorasoho.com,recommended,,,,,,Mo-Th 12:00-23:00; Fr 12:00-23:30; Sa 11:00-23:30; Su 11:00-22:30,"https://www.google.com/maps/search/?api=1&query=40.72354,-74.00316",nyu-aurora-soho
,,,,nyu,Bar Six,restaurant,+1-212-691-1363,,http://www.barsixny.com/,recommended,,,,,,"Mo-Su 11:00-16:00, 17:00-00:00","https://www.google.com/maps/search/?api=1&query=40.73642,-73.99722",nyu-bar-six
,,,,nyu,Bistro les Amis,restaurant,+1 212-226-8645,,https://bistrolesamis.com,yes,,,,,,11:30-23:30,"https://www.google.com/maps/search/?api=1&query=40.72474,-74.0026",nyu-bistro-les-amis
,,,,nyu,Bites of Xi’an,restaurant,+1 917-409-5535,,https://bitesofxian.com,yes,,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,,,,Mo-Fr 11:00-21:00; Sa-Su 12:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.73096,-73.98986",nyu-bites-of-xian
,,,,nyu,Boqueria Soho,restaurant,+1-212-343-4255,Soho@baqueriaNYC.com,https://boqueriarestaurant.com/tapas-bar-nyc-soho,yes,,,,,,Mo-Su 12:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.72482,-74.00222",nyu-boqueria-soho
,,,,nyu,Carroll Place,restaurant,+1-212-260-1700,,https://www.carrollplacenyc.com/,recommended,,,,,,Su 11:00-02:00; Mo 17:00-02:00; Tu-We 12:00-02:00; Th-Fr 12:00-04:00; Sa 11:00-04:00,"https://www.google.com/maps/search/?api=1&query=40.72863,-73.99977",nyu-carroll-place
,,,,nyu,Da Andrea,restaurant,+1-212-367-1979,,https://www.daandreanyc.com/,yes,,,,,,Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 11:00-23:00; Su 11:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.73613,-73.9958",nyu-da-andrea
,,,,nyu,Ferns,restaurant,+1 646-998-5034,team@fernsnyc.com,https://fernsnyc.com,yes,,,,,,Tu-Th 16:00-24:00; Fr 16:00-01:00; Sa 11:00-01:00; Su 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.72885,-73.98412",nyu-ferns
,,,,nyu,Five Boys Fresh Pizza,restaurant,+1-646-398-8605,,,no,,,,,,"Mo-Sa 10:00-23:00, Su 10:00-22:00","https://www.google.com/maps/search/?api=1&query=40.72873,-74.0051",nyu-five-boys-fresh-pizza
,,,,nyu,Jadis Wine Bar,restaurant,+1-212-254-1675,info@jadisnyc.com,https://jadisnyc.com,yes,,,,,,"Mo 17:00-00:00; Tu-Th 17:00-01:00; Fr, Sa 17:00-02:00","https://www.google.com/maps/search/?api=1&query=40.72099,-73.99101",nyu-jadis-wine-bar
,,,,nyu,Jeffrey's Grocery,restaurant,+1-646-398-7630,,https://www.jeffreysgrocery.com/,yes,,,,,,"Mo 11:30-22:00; Tu-Fr 11:30-23:00; Sa 10:00-15:15,17:00-23:00; Su 10:00-15:15,17:00-22:00","https://www.google.com/maps/search/?api=1&query=40.73391,-74.00134",nyu-jeffrey-s-grocery
,,,,nyu,Ms. Yoo,restaurant,+1-917-261-2490,,https://ms-yoo.com,yes,,,,,,Mo-Sa 17:00-02:00,"https://www.google.com/maps/search/?api=1&query=40.72118,-73.98969",nyu-ms-yoo
,,,,nyu,NoMo Kitchen,restaurant,+1 646 218 6449,nomofb@nomosoho.com,https://www.nomosoho.com/nomo-soho-kitchen,yes,,,,,,"Mo-Th 06:30-22:00, Fr 06:30-23:00, Sa 09:00-23:00, Su 09:00-16:00","https://www.google.com/maps/search/?api=1&query=40.71976,-73.9999",nyu-nomo-kitchen
,,,,nyu,Old Tbilisi Garden,restaurant,+1 212-470-6064,oldtibilisigarden@gmail.com,https://www.oldtbilisigarden.com/,yes,,,,,,"Mo-Th, Su 12:00-22:00; Fr, Sa 12:00-23:00","https://www.google.com/maps/search/?api=1&query=40.72883,-74.00076",nyu-old-tbilisi-garden
,,,,nyu,Onieal’s,restaurant,+1 212-941-9119,,https://onieals.com/soho,yes,,,,,,"Mo-Th 12:00-02:00; Fr, Sa 11:00-04:00; Su 11:00-02:00","https://www.google.com/maps/search/?api=1&query=40.71966,-73.99786",nyu-onieals
,,,,nyu,Osteria Morini,restaurant,+1-212-965-8777,info@osteriamorini.com,https://osteriamorini.com/soho-nyc/,recommended,,,,,,Mo 12:00-23:00; Tu-Th 12:00-22:30; Fr 12:00-23:30; Sa 11:30-23:30; Su 11:30-22:00,"https://www.google.com/maps/search/?api=1&query=40.72193,-73.99767",nyu-osteria-morini
,,,,nyu,Piccola Cuccina Estiatorio,restaurant,+1 646-781-9183,info@piccolacucinagroup.com,https://www.piccolacucinagroup.com/en/piccola-cucina-estiatorio-soho-nyc,yes,,,,,,Mo-Th 17:30-23:00; Fr 17:30-00:00; Sa 11:30-00:00; Su 11:30-23:00,"https://www.google.com/maps/search/?api=1&query=40.72461,-74.00302",nyu-piccola-cuccina-estiatorio
,,,,nyu,Ramen Danbo,restaurant,+1-917-261-7355,,https://ramendanbo.com/,no,,,,,,Mo-Su 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.72987,-74.00347",nyu-ramen-danbo
,,,,nyu,Sadelle’s,restaurant,+1-212-776-4926,,https://www.sadelles.com/,yes,,,,,,Mo-We 08:30-14:30; Th-Sa 08:30-20:30; Su 08:30-17:00,"https://www.google.com/maps/search/?api=1&query=40.72625,-74.00011",nyu-sadelles
,,,,nyu,Sauce,restaurant,+1-212-420-7700,,https://www.saucerestaurant.com/,recommended,,,,,,Mo-Th 17:00-22:30; Fr 17:00-23:00; Sa 11:00-23:30; Su 11:00-22:30,"https://www.google.com/maps/search/?api=1&query=40.7205,-73.98944",nyu-sauce
